S2G ID,Fecha,energy_main(kWh),Ventas,Invitados,intensidad_kWh_invitado,ticket_promedio_MXN_invitado,Nombre,Zona_CMR
CH38,02/08/2019,597.6713,22436,95,6.291276842,236.1684,Tijuana II,TIJ
CH39,02/08/2019,1147.0811,59404,284,4.039017958,209.169,Torreón I,TOR
CH40,02/08/2019,1380.2718,63848,303,4.555352475,210.7195,Torres,MTY
CH41,02/08/2019,1067.0704,31155,125,8.5365632,249.24,Tuxtla Gutiérrez,CP
CH42,02/08/2019,1131.2924,54968,239,4.733441004,229.9916,Xalapa Las Américas,VER
CH44,02/08/2019,1326.1653,53118,244,5.435103689,217.6967,Tampico,TAM
CH45,02/08/2019,873.0396,50277,227,3.845989427,221.4846,Torreón II,TOR
CH46,02/08/2019,1182.2765,68875,317,3.729578864,217.2713,Anáhuac,MTY
CH47,02/08/2019,1091.3887,38273,181,6.029771823,211.453,Avanta,MTY
CH49,02/08/2019,1392.6634,31049,145,9.604575172,214.131,Mérida,YUC
CH50,02/08/2019,1340.4902,57664,256,5.236289844,225.25,Mérida Altabrisa,YUC
CH51,02/08/2019,743.5345,80719,376,1.977485372,214.6782,Mérida Galerías,YUC
CH52,02/08/2019,1632.4958,46651,190,8.592083158,245.5316,Veracruz Boca del Río,VER
CH53,02/08/2019,1273.5641,45631,198,6.432141919,230.4596,Villahermosa,TAB
CH54,02/08/2019,1405.8713,49123,224,6.276211161,219.2991,Villahermosa II,TAB
